epoch,loss,val_loss
0,1.738502860069275,1.2222578525543213
1,1.1146150827407837,0.8184451460838318
2,0.8584052324295044,0.6127592325210571
3,0.69646817445755,0.47467178106307983
4,0.5734879970550537,0.3761299252510071
5,0.4848906993865967,0.31147876381874084
6,0.41365593671798706,0.2648356258869171
7,0.36041930317878723,0.23399867117404938
8,0.32236453890800476,0.20897383987903595
9,0.2915360927581787,0.19579528272151947
10,0.2702030837535858,0.1859838366508484
11,0.2529374957084656,0.17680568993091583
12,0.23898884654045105,0.16994492709636688
13,0.22823531925678253,0.15789327025413513
14,0.21739062666893005,0.15336136519908905
15,0.20809535682201385,0.14932358264923096
16,0.2022000104188919,0.14571212232112885
17,0.19618770480155945,0.1374843716621399
18,0.18887020647525787,0.13499805331230164
19,0.18239226937294006,0.12974543869495392
20,0.18584205210208893,0.13179939985275269
21,0.17226660251617432,0.11914020776748657
22,0.16975732147693634,0.11687633395195007
23,0.16709882020950317,0.11452879756689072
24,0.16271105408668518,0.12704311311244965
25,0.15698690712451935,0.10810357332229614
26,0.153691828250885,0.10434042662382126
27,0.1484978199005127,0.10643323510885239
28,0.14632414281368256,0.10385621339082718
29,0.14310207962989807,0.10215282440185547
